ts_utc,route_id,route_name,mode,n_vehicles,n_stops_measured,n_gaps,median_headway_s,headway_cv,pct_regular,pct_bunched,pct_gapped,n_alerts
2026-09-01T00:34:39Z,7,7 Bathurst,bus,12,18,55,359.0,0.779,20.0,47.3,32.7,2
2026-09-01T00:34:39Z,8,8 Broadview,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,9,9 Bellamy,bus,4,0,0,,,,,,0
2026-09-01T00:34:39Z,11,11 Bayview,bus,5,0,0,,,,,,1
2026-09-01T00:34:39Z,12,12 Kingston Rd,bus,7,0,0,,,,,,0
2026-09-01T00:34:39Z,13,13 Avenue Rd,bus,2,0,0,,,,,,1
2026-09-01T00:34:39Z,14,14 Glencairn,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,15,15 Evans,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,16,16 McCowan,bus,7,14,42,497.0,0.324,71.4,14.3,14.3,1
2026-09-01T00:34:39Z,17,17 Birchmount,bus,6,0,0,,,,,,0
2026-09-01T00:34:39Z,18,18 Caledonia,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,19,19 Bay,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,20,20 Cliffside,bus,5,0,0,,,,,,0
2026-09-01T00:34:39Z,21,21 Brimley,bus,5,1,3,206.0,0.535,66.7,0.0,33.3,1
2026-09-01T00:34:39Z,22,22 Coxwell,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,23,23 Dawes,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,24,24 Victoria Park,bus,12,51,156,470.0,0.367,76.3,10.3,13.5,0
2026-09-01T00:34:39Z,25,25 Don Mills,bus,13,44,143,373.0,0.586,46.9,30.1,23.1,1
2026-09-01T00:34:39Z,26,26 Dupont,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,27,27 Jane South,bus,4,1,3,531.0,0.087,100.0,0.0,0.0,0
2026-09-01T00:34:39Z,28,28 Bayview South,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,29,29 Dufferin,bus,15,76,261,372.0,0.467,63.2,20.7,16.1,0
2026-09-01T00:34:39Z,30,30 High Park North,bus,0,0,0,,,,,,0
2026-09-01T00:34:39Z,31,31 Greenwood,bus,3,0,0,,,,,,0
2026-09-01T00:34:39Z,32,32 Eglinton West,bus,4,0,0,,,,,,0
2026-09-01T00:34:39Z,33,33 Forest Hill,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,34,34 Eglinton,bus,10,0,0,,,,,,3
2026-09-01T00:34:39Z,35,35 Jane,bus,16,46,169,379.0,0.433,59.2,17.2,23.7,0
2026-09-01T00:34:39Z,36,36 Finch West,bus,10,41,172,382.0,0.382,80.8,12.2,7.0,1
2026-09-01T00:34:39Z,37,37 Islington,bus,10,6,18,560.0,0.326,100.0,0.0,0.0,0
2026-09-01T00:34:39Z,38,38 Highland Creek,bus,8,0,0,,,,,,1
2026-09-01T00:34:39Z,39,39 Finch East,bus,14,62,223,453.0,0.528,50.2,28.7,21.1,1
2026-09-01T00:34:39Z,40,40 Junction-Dundas West,bus,4,0,0,,,,,,0
2026-09-01T00:34:39Z,41,41 Keele,bus,12,0,0,,,,,,1
2026-09-01T00:34:39Z,42,42 Cummer,bus,9,0,0,,,,,,1
2026-09-01T00:34:39Z,43,43 Kennedy,bus,12,36,113,461.0,0.733,41.6,36.3,22.1,1
2026-09-01T00:34:39Z,44,44 Kipling South,bus,4,0,0,,,,,,0
2026-09-01T00:34:39Z,45,45 Kipling,bus,8,13,39,587.0,0.3,92.3,7.7,0.0,0
2026-09-01T00:34:39Z,46,46 Martin Grove,bus,4,0,0,,,,,,0
2026-09-01T00:34:39Z,47,47 Lansdowne,bus,7,29,96,420.0,0.265,76.0,12.5,11.5,0
2026-09-01T00:34:39Z,48,48 Rathburn,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,49,49 Bloor West,bus,1,0,0,,,,,,0
2026-09-01T00:34:39Z,50,50 Burnhamthorpe,bus,2,0,0,,,,,,0
2026-09-01T00:34:39Z,51,51 Leslie,bus,6,0,0,,,,,,0
